图片: B01
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=403.0, center_y=171.5, width=296.0, height=221.0)
  角点表示: (x1=255.0, y1=61.0, x2=551.0, y2=282.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.866  1.000  0.859  0.918  0.745  0.224  0.000  0.0  0.953  N    0  0.250  (255,61,551,282)
   2  0.828  0.788  0.929  0.996  0.697  0.203  0.000  0.0  0.967  N    0  0.159  (258,101,494,277)
   3  0.813  0.773  0.947  0.777  0.951  0.186  0.000  0.0  0.555  Y   -1  0.250  (76,40,372,261)
   4  0.810  0.926  0.744  0.833  0.919  0.312  0.000  0.0  0.953  N    0  0.250  (286,85,582,306)
   5  0.808  0.873  0.898  0.857  0.906  0.424  0.000  0.0  0.973  N    0  0.250  (239,116,535,337)
   6  0.804  0.780  0.807  0.912  0.860  0.219  0.000  0.0  0.543  Y   -1  0.360  (10,0,365,265)
   7  0.803  0.963  0.877  0.673  0.983  0.369  0.000  0.0  0.969  N    0  0.250  (253,103,549,324)
   8  0.801  0.737  0.975  0.722  0.970  0.147  0.000  0.0  0.573  Y   -1  0.159  (142,84,378,260)
   9  0.794  0.662  0.922  0.975  0.766  0.194  0.000  0.0  0.968  N    0  0.122  (279,121,486,275)
  10  0.794  0.678  0.895  0.924  0.845  0.192  0.000  0.0  0.331  Y   -1  0.250  (72,10,368,231)
  11  0.787  0.740  0.802  0.941  0.826  0.247  0.000  0.0  0.951  N    0  0.159  (327,110,563,286)
  12  0.787  0.724  0.929  0.903  0.808  0.280  0.000  0.0  0.976  N    0  0.159  (258,126,494,302)
  13  0.778  0.782  0.777  0.932  0.833  0.339  0.000  0.0  0.958  N    0  0.159  (329,136,565,312)
  14  0.777  0.622  0.946  0.824  0.923  0.161  0.000  0.0  0.255  Y   -1  0.159  (123,46,359,222)
  15  0.774  0.638  0.947  0.759  0.958  0.139  0.000  0.0  0.487  Y   -1  0.159  (112,72,348,248)
  16  0.770  0.869  0.737  0.862  0.902  0.450  0.000  0.0  0.958  N    0  0.250  (286,123,582,344)
  17  0.770  0.710  0.833  0.876  0.877  0.272  0.000  0.0  0.959  N    0  0.122  (337,140,544,294)
  18  0.769  0.648  0.953  0.734  0.968  0.157  0.000  0.0  0.350  Y   -1  0.159  (140,56,376,232)
  19  0.768  0.648  0.867  0.867  0.861  0.175  0.000  0.0  0.550  Y   -1  0.250  (31,41,327,262)
  20  0.767  0.538  0.914  0.972  0.769  0.113  0.000  0.0  0.551  Y   -1  0.159  (63,85,299,261)
  21  0.757  0.888  0.927  0.866  0.343  0.200  0.000  0.0  0.970  N    0  0.250  (182,52,478,273)
  22  0.752  0.566  0.861  0.953  0.808  0.195  0.000  0.0  0.293  Y   -1  0.250  (48,6,344,227)
  23  0.744  0.589  0.931  0.902  0.773  0.241  0.000  0.0  0.976  N    0  0.122  (274,138,481,292)
  24  0.737  0.599  0.825  0.971  0.691  0.206  0.000  0.0  0.949  N    0  0.122  (350,120,557,274)
  25  0.736  0.501  0.955  0.797  0.933  0.144  0.000  0.0  0.182  Y   -1  0.122  (153,61,360,215)
  26  0.733  0.560  0.942  0.706  0.975  0.147  0.000  0.0  0.376  Y   -1  0.159  (105,60,341,236)
  27  0.732  0.491  0.927  0.899  0.817  0.164  0.000  0.0  0.099  Y   -1  0.159  (123,29,359,205)
  28  0.731  0.554  0.808  0.886  0.872  0.189  0.000  0.0  0.416  Y   -1  0.250  (6,23,302,244)
  29  0.722  0.687  0.788  0.944  0.729  0.405  0.000  0.0  0.955  N    0  0.159  (312,158,548,334)
  30  0.717  0.420  0.930  0.902  0.853  0.166  0.000  0.0  0.104  Y   -1  0.159  (105,30,341,206)
  31  0.714  0.558  0.962  0.606  0.997  0.133  0.000  0.0  0.383  Y   -1  0.122  (158,80,365,234)
  32  0.705  0.539  0.877  0.879  0.650  0.145  0.000  0.0  0.101  Y   -1  0.159  (187,26,423,202)
  33  0.704  0.368  0.931  0.907  0.862  0.166  0.000  0.0  0.089  Y   -1  0.159  (87,29,323,205)
  34  0.699  0.446  0.807  0.967  0.773  0.198  0.000  0.0  0.252  Y   -1  0.250  (14,2,310,223)
  35  0.697  0.784  0.947  0.786  0.268  0.159  0.000  0.0  0.970  N    0  0.159  (220,82,456,258)
  36  0.696  0.395  0.930  0.795  0.929  0.143  0.000  0.0  0.324  Y   -1  0.159  (78,55,314,231)
  37  0.695  0.391  0.802  0.986  0.736  0.111  0.000  0.0  0.546  Y   -1  0.159  (41,83,277,259)
  38  0.693  0.693  0.956  0.814  0.397  0.207  0.000  0.0  0.979  N    0  0.159  (220,107,456,283)
  39  0.689  0.875  0.779  0.813  0.595  0.560  0.000  0.0  0.954  N    0  0.250  (254,158,550,379)
  40  0.680  0.336  0.944  0.771  0.954  0.126  0.000  0.0  0.181  Y   -1  0.122  (108,62,315,216)
  41  0.679  0.598  0.816  0.839  0.507  0.115  0.000  0.0  0.083  Y   -1  0.159  (245,24,481,200)
  42  0.676  0.295  0.925  0.887  0.875  0.159  0.000  0.0  0.131  Y   -1  0.159  (64,34,300,210)
  43  0.674  0.643  0.752  0.976  0.514  0.380  0.000  0.0  0.949  N    0  0.122  (344,173,551,327)
  44  0.672  0.843  0.947  0.729  0.327  0.374  0.000  0.0  0.987  N    0  0.250  (159,83,455,304)
  45  0.668  0.416  0.903  0.852  0.698  0.158  0.000  0.0  0.085  Y   -1  0.159  (141,19,377,195)
  46  0.665  0.481  0.919  0.983  0.524  0.343  0.000  0.0  0.969  N    0  0.122  (274,170,481,324)
  47  0.662  0.685  0.687  0.875  0.587  0.360  0.000  0.0  0.950  N    0  0.159  (354,140,590,316)
  48  0.661  0.319  0.806  0.887  0.850  0.131  0.000  0.0  0.312  Y   -1  0.159  (35,55,271,231)
