图片: 1098
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
  1. final=0.750 aes_norm=1.000 aes_raw=4.541 pen=0.500 rule=0.412 L=N i=  0 box=(600,79,1200,522) area_ratio=0.250
  2. final=0.731 aes_norm=0.731 aes_raw=4.374 pen=0.000 rule=0.550 L=Y i= -1 box=(8,0,488,354) area_ratio=0.160
  3. final=0.678 aes_norm=0.928 aes_raw=4.496 pen=0.500 rule=0.472 L=N i=  0 box=(571,107,1171,550) area_ratio=0.250
  4. final=0.640 aes_norm=0.640 aes_raw=4.317 pen=0.000 rule=0.523 L=Y i= -1 box=(71,45,491,355) area_ratio=0.122
  5. final=0.619 aes_norm=0.619 aes_raw=4.304 pen=0.000 rule=0.550 L=Y i= -1 box=(55,37,535,391) area_ratio=0.160
  6. final=0.592 aes_norm=0.842 aes_raw=4.443 pen=0.500 rule=0.430 L=Y i=  0 box=(239,268,959,799) area_ratio=0.360
  7. final=0.585 aes_norm=0.585 aes_raw=4.283 pen=0.000 rule=0.512 L=Y i= -1 box=(0,49,420,359) area_ratio=0.122
  8. final=0.580 aes_norm=0.830 aes_raw=4.435 pen=0.500 rule=0.407 L=Y i=  0 box=(347,0,1067,531) area_ratio=0.360
  9. final=0.548 aes_norm=0.798 aes_raw=4.416 pen=0.500 rule=0.601 L=N i=  0 box=(347,268,1067,799) area_ratio=0.360
 10. final=0.525 aes_norm=0.525 aes_raw=4.246 pen=0.000 rule=0.448 L=N i= -1 box=(2,288,422,598) area_ratio=0.122
 11. final=0.506 aes_norm=0.506 aes_raw=4.235 pen=0.000 rule=0.452 L=N i= -1 box=(91,245,511,555) area_ratio=0.122
 12. final=0.502 aes_norm=0.752 aes_raw=4.387 pen=0.500 rule=0.403 L=N i=  0 box=(389,312,989,755) area_ratio=0.250
 13. final=0.497 aes_norm=0.497 aes_raw=4.229 pen=0.000 rule=0.434 L=Y i= -1 box=(149,46,509,311) area_ratio=0.090
 14. final=0.492 aes_norm=0.742 aes_raw=4.381 pen=0.500 rule=0.453 L=N i=  0 box=(421,244,1021,687) area_ratio=0.250
 15. final=0.489 aes_norm=0.680 aes_raw=4.342 pen=0.382 rule=0.613 L=N i=  0 box=(585,239,1185,682) area_ratio=0.250
 16. final=0.485 aes_norm=0.485 aes_raw=4.221 pen=0.000 rule=0.533 L=Y i= -1 box=(76,0,496,310) area_ratio=0.122
 17. final=0.478 aes_norm=0.478 aes_raw=4.217 pen=0.000 rule=0.428 L=N i= -1 box=(1,401,421,711) area_ratio=0.122
 18. final=0.477 aes_norm=0.477 aes_raw=4.217 pen=0.000 rule=0.425 L=N i= -1 box=(5,115,485,469) area_ratio=0.160
 19. final=0.468 aes_norm=0.468 aes_raw=4.211 pen=0.000 rule=0.440 L=Y i= -1 box=(137,4,497,269) area_ratio=0.090
 20. final=0.464 aes_norm=0.464 aes_raw=4.208 pen=0.000 rule=0.523 L=Y i= -1 box=(0,0,420,310) area_ratio=0.122
 21. final=0.460 aes_norm=0.460 aes_raw=4.206 pen=0.000 rule=0.440 L=N i= -1 box=(87,396,507,706) area_ratio=0.122
 22. final=0.456 aes_norm=0.647 aes_raw=4.322 pen=0.383 rule=0.607 L=N i=  0 box=(600,255,1200,698) area_ratio=0.250
 23. final=0.427 aes_norm=0.427 aes_raw=4.185 pen=0.000 rule=0.455 L=N i= -1 box=(68,279,488,589) area_ratio=0.122
 24. final=0.425 aes_norm=0.425 aes_raw=4.184 pen=0.000 rule=0.419 L=N i= -1 box=(4,122,424,432) area_ratio=0.122
 25. final=0.423 aes_norm=0.423 aes_raw=4.183 pen=0.000 rule=0.428 L=N i= -1 box=(94,469,514,779) area_ratio=0.122
 26. final=0.416 aes_norm=0.416 aes_raw=4.179 pen=0.000 rule=0.523 L=Y i= -1 box=(18,70,498,424) area_ratio=0.160
