图片: 5121
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
  1. final=1.000 aes_norm=1.000 aes_raw=4.621 pen=0.000 rule=0.955 L=N i=  0 box=(377,102,803,422) area_ratio=0.250
  2. final=0.985 aes_norm=0.985 aes_raw=4.604 pen=0.000 rule=0.953 L=N i=  0 box=(342,70,853,454) area_ratio=0.359
  3. final=0.975 aes_norm=0.975 aes_raw=4.594 pen=0.000 rule=0.952 L=N i=  0 box=(331,56,842,440) area_ratio=0.359
  4. final=0.935 aes_norm=0.981 aes_raw=4.601 pen=0.094 rule=0.696 L=N i=  1 box=(420,127,846,447) area_ratio=0.250
  5. final=0.930 aes_norm=0.930 aes_raw=4.544 pen=0.000 rule=0.876 L=N i=  1 box=(377,70,803,390) area_ratio=0.250
  6. final=0.924 aes_norm=0.924 aes_raw=4.538 pen=0.000 rule=0.945 L=N i=  0 box=(334,31,845,415) area_ratio=0.359
  7. final=0.918 aes_norm=0.918 aes_raw=4.531 pen=0.000 rule=0.952 L=N i=  0 box=(374,88,800,408) area_ratio=0.250
  8. final=0.909 aes_norm=0.909 aes_raw=4.522 pen=0.000 rule=0.955 L=N i=  0 box=(334,70,845,454) area_ratio=0.359
  9. final=0.902 aes_norm=0.902 aes_raw=4.514 pen=0.000 rule=0.948 L=N i=  0 box=(387,82,813,402) area_ratio=0.250
 10. final=0.899 aes_norm=0.899 aes_raw=4.511 pen=0.000 rule=0.950 L=N i=  0 box=(342,56,853,440) area_ratio=0.359
 11. final=0.879 aes_norm=0.937 aes_raw=4.551 pen=0.116 rule=0.626 L=N i=  1 box=(427,88,853,408) area_ratio=0.250
 12. final=0.878 aes_norm=0.878 aes_raw=4.487 pen=0.000 rule=0.960 L=N i=  0 box=(374,120,800,440) area_ratio=0.250
 13. final=0.875 aes_norm=0.875 aes_raw=4.484 pen=0.000 rule=0.942 L=N i=  0 box=(331,18,842,402) area_ratio=0.359
 14. final=0.855 aes_norm=0.918 aes_raw=4.530 pen=0.125 rule=0.666 L=N i=  1 box=(382,50,808,370) area_ratio=0.250
 15. final=0.855 aes_norm=0.913 aes_raw=4.525 pen=0.116 rule=0.630 L=N i=  1 box=(427,105,853,425) area_ratio=0.250
 16. final=0.854 aes_norm=0.854 aes_raw=4.461 pen=0.000 rule=0.886 L=N i=  1 box=(377,134,803,454) area_ratio=0.250
 17. final=0.848 aes_norm=0.927 aes_raw=4.541 pen=0.159 rule=0.560 L=N i=  1 box=(313,102,739,422) area_ratio=0.250
 18. final=0.831 aes_norm=0.868 aes_raw=4.476 pen=0.075 rule=0.798 L=N i=  1 box=(255,56,766,440) area_ratio=0.359
 19. final=0.826 aes_norm=0.861 aes_raw=4.468 pen=0.069 rule=0.815 L=N i=  1 box=(257,70,768,454) area_ratio=0.359
 20. final=0.810 aes_norm=0.858 aes_raw=4.465 pen=0.097 rule=0.731 L=N i=  1 box=(374,56,800,376) area_ratio=0.250
 21. final=0.805 aes_norm=0.864 aes_raw=4.472 pen=0.119 rule=0.691 L=N i=  1 box=(326,91,752,411) area_ratio=0.250
 22. final=0.788 aes_norm=0.872 aes_raw=4.481 pen=0.169 rule=0.529 L=N i=  1 box=(310,88,736,408) area_ratio=0.250
 23. final=0.756 aes_norm=0.885 aes_raw=4.494 pen=0.258 rule=0.291 L=N i=  1 box=(419,38,845,358) area_ratio=0.250
 24. final=0.730 aes_norm=0.767 aes_raw=4.365 pen=0.074 rule=0.791 L=N i=  1 box=(371,143,797,463) area_ratio=0.250
 25. final=0.690 aes_norm=0.829 aes_raw=4.434 pen=0.278 rule=0.270 L=N i=  1 box=(311,49,737,369) area_ratio=0.250
 26. final=0.689 aes_norm=0.784 aes_raw=4.384 pen=0.190 rule=0.479 L=N i=  1 box=(307,130,733,450) area_ratio=0.250
