图片: B20
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=132.5, center_y=350.0, width=265.0, height=354.0)
  角点表示: (x1=0.0, y1=173.0, x2=265.0, y2=527.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
  53  0.304  0.541  0.833  0.555  1.000  0.629  0.352  0.0  0.705  N    1  0.160  (15,275,192,511)
  54  0.299  0.494  0.860  0.890  0.825  0.564  0.445  0.0  0.624  N    1  0.160  (49,275,226,511)
  55  0.291  0.586  0.931  0.977  0.688  0.621  0.500  0.0  0.559  N    2  0.160  (28,112,205,348)
  56  0.289  0.532  1.000  0.886  0.869  0.649  0.500  0.0  0.587  N    2  0.122  (23,145,178,351)
  57  0.287  0.501  0.809  0.767  0.589  0.498  0.364  0.0  0.702  N    2  0.249  (62,204,283,499)
  58  0.287  0.569  0.976  0.844  0.915  0.679  0.500  0.0  0.755  N    2  0.160  (0,150,177,386)
  59  0.285  0.488  1.000  0.697  0.980  0.644  0.442  0.0  0.826  N    2  0.160  (11,173,188,409)
  60  0.280  0.595  0.958  0.906  0.745  0.669  0.500  0.0  0.559  N    2  0.160  (0,107,177,343)
  61  0.278  0.722  0.702  0.942  0.416  0.492  0.466  0.0  0.753  N    2  0.358  (48,76,313,430)
  62  0.277  0.620  0.822  0.991  0.602  0.570  0.500  0.0  0.544  N    2  0.160  (59,134,236,370)
  63  0.276  0.744  0.761  0.957  0.480  0.551  0.500  0.0  0.647  N    2  0.249  (41,81,262,376)
  64  0.274  0.695  0.805  0.869  0.893  0.816  0.497  0.0  0.535  N    1  0.160  (28,323,205,559)
  65  0.271  0.613  0.789  0.836  0.618  0.521  0.453  0.0  0.749  N    2  0.249  (53,180,274,475)
  66  0.266  0.544  1.000  0.628  0.994  0.600  0.478  0.0  0.760  N    2  0.122  (25,197,180,403)
  67  0.262  0.309  0.906  0.898  0.834  0.576  0.430  0.0  0.712  N    2  0.160  (45,206,222,442)
  68  0.245  0.673  0.803  0.862  0.569  0.581  0.500  0.0  0.560  N    2  0.249  (2,48,223,343)
  69  0.242  0.381  0.913  0.981  0.751  0.575  0.500  0.0  0.540  N    2  0.122  (59,163,214,369)
  70  0.234  0.669  0.686  0.951  0.425  0.502  0.500  0.0  0.583  N    2  0.249  (71,112,292,407)
  71  0.232  0.547  0.852  0.766  0.957  0.722  0.500  0.0  0.479  N    1  0.122  (31,337,186,543)
  72  0.231  0.571  0.857  0.626  0.994  0.646  0.486  0.0  0.562  N    1  0.122  (22,316,177,522)
  73  0.219  0.314  0.910  0.920  0.816  0.544  0.500  0.0  0.628  N    2  0.122  (62,201,217,407)
  74  0.219  0.415  0.784  0.887  0.771  0.543  0.487  0.0  0.573  N    1  0.160  (58,257,235,493)
  75  0.213  0.428  0.771  0.853  0.876  0.582  0.500  0.0  0.484  N    1  0.122  (56,273,211,479)
  76  0.211  0.650  0.660  0.928  0.387  0.487  0.500  0.0  0.518  N    2  0.249  (77,106,298,401)
  77  0.207  0.510  0.776  0.574  0.999  0.654  0.450  0.0  0.594  N    1  0.122  (27,274,182,480)
  78  0.207  0.662  0.668  0.908  0.375  0.493  0.500  0.0  0.509  N    2  0.249  (72,90,293,385)
  79  0.206  0.303  1.000  0.595  0.998  0.638  0.433  0.0  0.697  N    2  0.122  (22,223,177,429)
  80  0.200  0.528  0.726  0.821  0.672  0.522  0.500  0.0  0.481  N    1  0.160  (73,250,250,486)
  81  0.197  0.357  1.000  0.714  0.970  0.666  0.500  0.0  0.715  N    2  0.122  (4,199,159,405)
  82  0.191  0.663  0.621  0.862  0.323  0.403  0.500  0.0  0.488  N    2  0.358  (88,111,353,465)
  83  0.182  0.400  0.793  0.818  0.911  0.704  0.500  0.0  0.490  N    1  0.122  (0,260,155,466)
  84  0.160  0.168  1.000  0.691  0.978  0.499  0.500  0.0  0.526  N    2  0.089  (53,226,185,403)
  85  0.157  0.138  1.000  0.900  0.870  0.694  0.500  0.0  0.517  N    2  0.122  (0,144,155,350)
