图片: B10
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=436.5, center_y=143.0, width=291.0, height=224.0)
  角点表示: (x1=291.0, y1=31.0, x2=582.0, y2=255.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.533  0.970  0.960  0.846  0.898  0.790  0.000  0.0  0.931  N    0  0.249  (291,31,582,255)
   2  0.529  0.951  0.963  0.829  0.899  0.788  0.000  0.0  0.930  N    0  0.249  (291,28,582,252)
   3  0.511  0.977  0.957  0.883  0.836  0.785  0.000  0.0  0.933  N    0  0.249  (281,28,572,252)
   4  0.509  0.918  0.928  0.919  0.852  0.774  0.000  0.0  0.923  N    0  0.249  (291,9,582,233)
   5  0.508  1.000  0.955  0.911  0.814  0.786  0.000  0.0  0.935  N    0  0.249  (278,31,569,255)
   6  0.504  0.963  0.953  0.911  0.820  0.782  0.000  0.0  0.931  N    0  0.249  (279,23,570,247)
   7  0.501  0.966  0.945  0.934  0.830  0.800  0.000  0.0  0.938  N    0  0.249  (291,50,582,274)
   8  0.482  0.870  0.902  0.940  0.817  0.768  0.000  0.0  0.921  N    0  0.249  (291,3,582,227)
   9  0.482  0.843  0.911  0.934  0.830  0.770  0.000  0.0  0.922  N    0  0.249  (291,5,582,229)
  10  0.479  0.746  0.984  0.628  0.994  0.844  0.000  0.0  0.923  N    0  0.159  (350,54,582,233)
  11  0.478  0.915  0.944  0.948  0.804  0.803  0.000  0.0  0.939  N    0  0.249  (291,54,582,278)
  12  0.467  0.689  0.989  0.697  0.980  0.838  0.006  0.0  0.925  N    2  0.159  (350,59,582,238)
  13  0.467  0.957  0.831  0.907  0.772  0.759  0.000  0.0  0.893  Y    0  0.359  (233,0,582,269)
  14  0.459  0.684  0.977  0.593  0.998  0.848  0.000  0.0  0.922  N    0  0.159  (350,50,582,229)
  15  0.458  0.958  0.836  0.903  0.772  0.780  0.000  0.0  0.896  Y    0  0.359  (233,9,582,278)
  16  0.454  0.928  0.834  0.886  0.774  0.771  0.000  0.0  0.895  Y    0  0.359  (233,5,582,274)
  17  0.440  0.685  0.981  0.760  0.956  0.814  0.061  0.0  0.750  N    1  0.159  (350,68,582,247)
  18  0.417  0.641  0.976  0.786  0.943  0.800  0.085  0.0  0.645  N    1  0.159  (350,72,582,251)
  19  0.412  0.624  0.959  0.726  0.971  0.861  0.043  0.0  0.803  N    2  0.159  (350,36,582,215)
  20  0.406  0.683  0.964  0.857  0.907  0.783  0.116  0.0  0.538  N    1  0.159  (342,77,574,256)
  21  0.401  0.658  0.959  0.753  0.959  0.864  0.067  0.0  0.736  N    2  0.159  (350,32,582,211)
  22  0.398  0.748  0.968  0.860  0.890  0.838  0.097  0.0  0.672  N    2  0.159  (317,54,549,233)
  23  0.398  0.881  0.843  0.976  0.714  0.829  0.000  0.0  0.904  Y    0  0.359  (233,32,582,301)
  24  0.395  0.919  0.842  0.984  0.696  0.837  0.000  0.0  0.893  Y    0  0.359  (233,36,582,305)
  25  0.390  0.947  0.938  0.934  0.711  0.784  0.097  0.0  0.684  N    2  0.249  (258,42,549,266)
  26  0.389  0.686  0.972  0.877  0.886  0.835  0.092  0.0  0.687  N    2  0.159  (318,57,550,236)
  27  0.389  0.694  0.960  0.824  0.901  0.843  0.087  0.0  0.698  N    2  0.159  (319,50,551,229)
  28  0.377  0.900  0.930  0.994  0.700  0.803  0.085  0.0  0.662  N    1  0.249  (287,72,578,296)
  29  0.372  0.610  0.959  0.779  0.947  0.865  0.091  0.0  0.670  N    2  0.159  (350,28,582,207)
