图片: B11
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=252.0, center_y=274.5, width=232.0, height=281.0)
  角点表示: (x1=136.0, y1=134.0, x2=368.0, y2=415.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.872  0.977  1.000  0.856  0.898  0.357  0.000  0.0  0.613  Y   -1  0.249  (136,134,368,415)
   2  0.836  1.000  1.000  0.843  0.911  0.595  0.000  0.0  0.767  Y   -1  0.360  (186,110,465,447)
   3  0.826  0.835  1.000  0.866  0.895  0.372  0.000  0.0  0.651  Y   -1  0.249  (166,110,398,391)
   4  0.825  0.763  1.000  0.881  0.876  0.252  0.000  0.0  0.619  Y   -1  0.159  (195,144,381,368)
   5  0.820  0.867  1.000  0.849  0.908  0.447  0.000  0.0  0.714  Y   -1  0.249  (205,123,437,404)
   6  0.819  0.924  1.000  0.811  0.933  0.519  0.000  0.0  0.759  Y   -1  0.249  (233,143,465,424)
   7  0.817  0.875  1.000  0.862  0.873  0.466  0.000  0.0  0.669  Y   -1  0.249  (176,161,408,442)
   8  0.812  0.905  1.000  0.828  0.916  0.539  0.000  0.0  0.754  Y   -1  0.249  (233,162,465,443)
   9  0.789  0.814  1.000  0.853  0.878  0.500  0.000  0.0  0.701  Y   -1  0.249  (198,167,430,448)
  10  0.788  0.639  1.000  0.916  0.840  0.252  0.000  0.0  0.630  Y   -1  0.159  (199,161,385,385)
  11  0.779  0.832  1.000  0.778  0.951  0.540  0.000  0.0  0.679  Y   -1  0.249  (189,84,421,365)
  12  0.772  0.638  1.000  0.837  0.895  0.266  0.000  0.0  0.668  Y   -1  0.159  (227,144,413,368)
  13  0.760  0.618  1.000  0.890  0.865  0.353  0.000  0.0  0.612  Y   -1  0.159  (190,192,376,416)
  14  0.757  0.778  1.000  0.855  0.884  0.622  0.000  0.0  0.740  Y   -1  0.249  (228,190,460,471)
  15  0.757  0.692  1.000  0.833  0.899  0.447  0.000  0.0  0.695  Y   -1  0.159  (248,211,434,435)
  16  0.752  0.558  1.000  0.905  0.837  0.289  0.000  0.0  0.659  Y   -1  0.159  (217,173,403,397)
  17  0.750  0.528  1.000  0.939  0.780  0.243  0.000  0.0  0.611  Y   -1  0.122  (213,191,375,387)
  18  0.738  0.543  1.000  0.897  0.837  0.323  0.000  0.0  0.643  Y   -1  0.122  (238,212,400,408)
  19  0.733  0.670  1.000  0.835  0.919  0.564  0.000  0.0  0.751  Y   -1  0.249  (233,109,465,390)
  20  0.730  0.639  0.984  0.861  0.887  0.514  0.000  0.0  0.681  Y   -1  0.159  (242,226,428,450)
  21  0.730  0.662  0.954  0.830  0.907  0.499  0.000  0.0  0.737  Y   -1  0.159  (279,222,465,446)
  22  0.723  0.555  1.000  0.840  0.888  0.390  0.000  0.0  0.666  Y   -1  0.159  (227,199,413,423)
  23  0.720  0.445  1.000  0.920  0.801  0.250  0.000  0.0  0.652  Y   -1  0.122  (240,190,402,386)
  24  0.719  0.558  1.000  0.816  0.912  0.403  0.000  0.0  0.719  Y   -1  0.159  (262,200,448,424)
  25  0.711  0.527  1.000  0.842  0.892  0.411  0.000  0.0  0.749  Y   -1  0.159  (279,178,465,402)
  26  0.709  0.546  1.000  0.803  0.921  0.428  0.000  0.0  0.743  Y   -1  0.159  (279,199,465,423)
  27  0.708  0.469  1.000  0.853  0.872  0.321  0.000  0.0  0.716  Y   -1  0.159  (256,160,442,384)
  28  0.705  0.585  1.000  0.785  0.946  0.515  0.000  0.0  0.718  Y   -1  0.159  (270,132,456,356)
  29  0.681  0.398  0.992  0.862  0.869  0.345  0.000  0.0  0.729  Y   -1  0.122  (295,214,457,410)
  30  0.681  0.755  1.000  0.879  0.839  1.000  0.000  0.0  0.968  N    0  0.360  (92,225,371,562)
  31  0.680  0.349  0.989  0.919  0.771  0.255  0.000  0.0  0.623  Y   -1  0.089  (300,221,439,389)
  32  0.679  0.546  0.945  0.926  0.809  0.615  0.000  0.0  0.634  Y   -1  0.159  (215,247,401,471)
  33  0.677  0.771  1.000  0.896  0.768  1.000  0.000  0.0  0.953  N    0  0.360  (50,225,329,562)
  34  0.677  0.447  1.000  0.793  0.942  0.429  0.000  0.0  0.672  Y   -1  0.159  (248,127,434,351)
  35  0.670  0.287  1.000  0.875  0.866  0.235  0.000  0.0  0.705  Y   -1  0.122  (274,180,436,376)
  36  0.662  0.531  1.000  0.731  0.969  0.587  0.000  0.0  0.660  Y   -1  0.122  (303,140,465,336)
  37  0.661  0.499  0.913  0.815  0.932  0.542  0.000  0.0  0.635  Y   -1  0.122  (242,260,404,456)
  38  0.660  0.375  1.000  0.831  0.896  0.410  0.000  0.0  0.744  Y   -1  0.159  (274,162,460,386)
  39  0.657  0.269  1.000  0.808  0.929  0.230  0.000  0.0  0.613  Y   -1  0.122  (238,149,400,345)
  40  0.655  0.229  1.000  0.910  0.830  0.231  0.000  0.0  0.626  Y   -1  0.089  (314,211,453,379)
  41  0.653  0.232  1.000  0.823  0.921  0.202  0.000  0.0  0.612  Y   -1  0.089  (301,186,440,354)
  42  0.650  0.353  0.972  0.822  0.912  0.394  0.000  0.0  0.688  Y   -1  0.122  (271,228,433,424)
  43  0.650  0.302  1.000  0.850  0.893  0.361  0.000  0.0  0.746  Y   -1  0.122  (303,188,465,384)
  44  0.647  0.732  1.000  0.862  0.725  1.000  0.000  0.0  0.936  N    0  0.360  (0,225,279,562)
  45  0.645  0.667  0.892  0.937  0.829  1.000  0.000  0.0  0.948  N    0  0.249  (81,281,313,562)
  46  0.638  0.674  1.000  0.888  0.740  1.000  0.000  0.0  0.927  N    1  0.249  (3,250,235,531)
  47  0.633  0.272  1.000  0.770  0.944  0.319  0.000  0.0  0.665  Y   -1  0.122  (276,151,438,347)
  48  0.624  0.462  1.000  0.712  0.972  0.647  0.000  0.0  0.646  Y   -1  0.159  (274,109,460,333)
  49  0.623  0.601  0.898  0.948  0.802  1.000  0.000  0.0  0.940  N    0  0.249  (59,281,291,562)
  50  0.619  0.673  0.897  0.906  0.721  1.000  0.000  0.0  0.928  N    0  0.249  (24,281,256,562)
  51  0.619  0.554  0.947  0.929  0.836  1.000  0.000  0.0  0.860  N    1  0.249  (110,270,342,551)
  52  0.608  0.691  0.869  0.874  0.712  1.000  0.000  0.0  0.920  N    0  0.249  (0,281,232,562)
  53  0.607  0.175  0.909  0.921  0.787  0.274  0.000  0.0  0.616  Y   -1  0.089  (326,228,465,396)
  54  0.594  0.548  0.849  0.910  0.850  1.000  0.000  0.0  0.910  N    1  0.159  (0,307,186,531)
  55  0.594  0.217  0.832  0.852  0.882  0.324  0.000  0.0  0.613  Y   -1  0.089  (325,245,464,413)
  56  0.592  0.125  0.932  0.918  0.773  0.273  0.000  0.0  0.622  Y   -1  0.089  (314,228,453,396)
  57  0.592  0.294  0.881  0.800  0.940  0.506  0.000  0.0  0.689  Y   -1  0.122  (276,254,438,450)
  58  0.587  0.542  0.907  0.803  0.930  1.000  0.000  0.0  0.826  N    1  0.122  (54,325,216,521)
  59  0.575  0.104  0.899  0.874  0.872  0.324  0.000  0.0  0.612  Y   -1  0.089  (297,242,436,410)
  60  0.574  0.146  0.859  0.841  0.895  0.329  0.000  0.0  0.617  Y   -1  0.089  (314,245,453,413)
  61  0.570  0.274  0.856  0.739  0.960  0.484  0.000  0.0  0.729  Y   -1  0.122  (303,251,465,447)
  62  0.564  0.506  0.814  0.834  0.922  1.000  0.000  0.0  0.885  N    1  0.159  (106,329,292,553)
  63  0.560  0.455  0.840  0.879  0.890  1.000  0.000  0.0  0.930  N    0  0.159  (55,313,241,537)
  64  0.560  0.417  0.894  0.874  0.852  0.946  0.000  0.0  0.914  N    0  0.122  (52,366,214,562)
  65  0.560  0.475  0.856  0.840  0.894  1.000  0.000  0.0  0.922  N    0  0.159  (30,312,216,536)
  66  0.559  0.378  0.863  0.941  0.825  0.932  0.000  0.0  0.797  N    1  0.122  (113,365,275,561)
  67  0.557  0.373  0.894  0.933  0.834  0.960  0.000  0.0  0.927  N    0  0.122  (84,358,246,554)
  68  0.544  0.403  0.848  0.882  0.879  1.000  0.000  0.0  0.937  N    0  0.159  (74,311,260,535)
  69  0.540  0.430  0.782  0.884  0.878  1.000  0.000  0.0  0.904  N    0  0.159  (0,338,186,562)
  70  0.529  0.323  0.792  0.942  0.749  0.841  0.000  0.0  0.844  N    0  0.089  (94,394,233,562)
  71  0.529  0.306  0.872  0.912  0.845  0.949  0.000  0.0  0.908  N    0  0.122  (35,364,197,560)
  72  0.527  0.320  0.912  0.807  0.930  0.946  0.000  0.0  0.821  N    1  0.089  (56,358,195,526)
  73  0.525  0.393  0.814  0.829  0.917  1.000  0.000  0.0  0.930  N    0  0.159  (75,338,261,562)
  74  0.523  0.381  0.804  0.843  0.916  1.000  0.000  0.0  0.924  N    0  0.159  (59,338,245,562)
  75  0.523  0.349  0.889  0.809  0.932  1.000  0.000  0.0  0.794  N    1  0.122  (29,323,191,519)
  76  0.521  0.378  0.808  0.832  0.922  1.000  0.000  0.0  0.912  N    0  0.159  (25,338,211,562)
  77  0.521  0.292  0.885  0.915  0.857  1.000  0.000  0.0  0.827  N    1  0.122  (90,324,252,520)
  78  0.478  0.299  0.773  0.663  0.986  0.845  0.000  0.0  0.831  N    0  0.089  (58,394,197,562)
  79  0.458  0.232  0.794  0.662  0.986  0.864  0.000  0.0  0.837  N    0  0.089  (70,388,209,556)
  80  0.407  0.296  0.932  0.823  0.278  0.611  0.076  0.0  0.864  N    2  0.159  (82,3,268,227)
  81  0.404  0.769  1.000  0.594  0.146  0.730  0.150  0.0  0.954  N    2  0.360  (134,0,413,337)
  82  0.371  0.236  0.939  0.832  0.446  0.580  0.150  0.0  0.936  N    2  0.122  (118,0,280,196)
  83  0.363  0.446  0.992  0.716  0.210  0.631  0.150  0.0  0.930  N    2  0.249  (40,0,272,281)
  84  0.354  0.192  0.935  0.741  0.558  0.561  0.150  0.0  0.862  N    2  0.089  (148,0,287,168)
  85  0.265  0.041  1.000  0.865  0.417  0.910  0.150  0.0  0.819  N    3  0.089  (298,0,437,168)
  86  0.232  0.404  1.000  0.718  0.213  0.748  0.276  0.0  0.940  N    2  0.249  (158,0,390,281)
  87  0.203  0.777  1.000  0.631  0.297  0.697  0.468  0.0  0.968  N    2  0.360  (92,0,371,337)
  88  0.154  0.336  1.000  0.847  0.260  0.717  0.416  0.0  0.869  N    2  0.249  (142,6,374,287)
  89  0.117  0.869  1.000  0.702  0.286  0.658  0.650  0.0  0.953  N    2  0.360  (50,0,329,337)
  90  0.052  0.285  1.000  0.848  0.269  0.839  0.500  0.0  0.866  N    3  0.159  (226,3,412,227)
  91  0.013  0.161  1.000  0.792  0.261  0.729  0.500  0.0  0.836  N    2  0.159  (170,6,356,230)
  92  0.010  0.415  0.992  0.824  0.301  0.642  0.650  0.0  0.943  N    2  0.249  (67,0,299,281)
  93  0.004  0.381  0.993  0.789  0.397  0.655  0.650  0.0  0.952  N    2  0.159  (139,0,325,224)
  94  -0.041  0.378  1.000  0.699  0.335  0.693  0.650  0.0  0.960  N    2  0.249  (116,0,348,281)
  95  -0.044  0.368  0.959  0.625  0.422  0.618  0.650  0.0  0.944  N    2  0.159  (117,0,303,224)
  96  -0.077  0.116  0.965  0.753  0.466  0.610  0.650  0.0  0.945  N    2  0.122  (144,0,306,196)
  97  -0.102  0.246  1.000  0.792  0.325  0.939  0.650  0.0  0.904  N    3  0.159  (279,0,465,224)
  98  -0.103  0.305  1.000  0.666  0.184  0.798  0.628  0.0  0.806  N    3  0.159  (203,0,389,224)
  99  -0.107  0.071  1.000  0.857  0.417  0.851  0.650  0.0  0.831  N    3  0.089  (265,0,404,168)
 100  -0.197  0.000  1.000  0.695  0.394  0.934  0.650  0.0  0.904  N    3  0.122  (279,0,441,196)
