图片: B16
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=338.0, center_y=201.5, width=250.0, height=167.0)
  角点表示: (x1=213.0, y1=118.0, x2=463.0, y2=285.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.714  0.498  0.997  0.993  0.683  0.371  0.000  0.0  0.991  N    1  0.160  (213,118,463,285)
   2  0.714  0.453  0.973  0.878  0.839  0.237  0.000  0.0  0.981  N    1  0.160  (209,89,459,256)
   3  0.703  0.396  1.000  0.816  0.918  0.204  0.000  0.0  0.978  N    1  0.122  (239,101,458,247)
   4  0.642  0.431  0.764  0.823  0.926  0.361  0.000  0.0  0.596  Y   -1  0.122  (47,134,266,280)
   5  0.641  0.449  1.000  0.842  0.586  0.346  0.000  0.0  0.989  N    1  0.122  (247,136,466,282)
   6  0.630  0.282  0.797  0.950  0.813  0.290  0.000  0.0  0.587  Y   -1  0.122  (43,112,262,258)
   7  0.628  0.489  0.828  0.929  0.830  0.690  0.000  0.0  0.926  N    0  0.122  (407,194,626,340)
   8  0.627  0.826  0.688  0.922  0.386  0.212  0.108  0.0  0.662  Y    1  0.358  (68,0,443,250)
   9  0.616  0.259  0.789  0.909  0.862  0.303  0.000  0.0  0.578  Y   -1  0.122  (7,113,226,259)
  10  0.613  0.295  0.752  0.950  0.754  0.297  0.000  0.0  0.596  Y   -1  0.160  (4,92,254,259)
  11  0.609  0.755  0.783  0.868  0.512  0.799  0.000  0.0  0.961  Y    0  0.358  (251,102,626,352)
  12  0.603  0.187  0.841  0.890  0.875  0.283  0.000  0.0  0.487  Y   -1  0.089  (36,129,223,254)
  13  0.602  0.583  0.972  0.794  0.405  0.505  0.000  0.0  0.984  N    1  0.160  (223,143,473,310)
  14  0.599  0.365  0.746  0.883  0.628  0.256  0.000  0.0  0.573  Y   -1  0.160  (12,79,262,246)
  15  0.594  0.239  0.762  0.952  0.731  0.290  0.000  0.0  0.603  Y   -1  0.160  (28,92,278,259)
  16  0.578  0.178  0.776  0.846  0.913  0.303  0.000  0.0  0.500  Y   -1  0.089  (75,139,262,264)
  17  0.556  0.647  0.866  0.935  0.464  0.646  0.094  0.0  0.922  Y    0  0.250  (298,117,611,326)
  18  0.550  0.752  0.827  0.712  0.553  0.959  0.000  0.0  0.951  Y    0  0.358  (251,127,626,377)
  19  0.548  0.013  0.862  0.849  0.912  0.269  0.000  0.0  0.399  Y   -1  0.062  (43,145,199,249)
  20  0.544  0.231  0.736  0.753  0.959  0.437  0.000  0.0  0.608  Y   -1  0.160  (9,131,259,298)
  21  0.532  0.337  0.791  0.999  0.617  0.803  0.000  0.0  0.926  N    0  0.160  (372,197,622,364)
  22  0.529  0.128  0.784  0.688  0.982  0.305  0.000  0.0  0.420  Y   -1  0.062  (122,167,278,271)
  23  0.528  0.017  0.793  0.816  0.918  0.266  0.000  0.0  0.410  Y   -1  0.062  (84,147,240,251)
  24  0.521  0.097  0.743  0.778  0.946  0.358  0.000  0.0  0.480  Y   -1  0.089  (9,162,196,287)
  25  0.518  0.167  0.737  0.676  0.984  0.366  0.000  0.0  0.501  Y   -1  0.089  (86,160,273,285)
  26  0.518  0.761  0.852  0.919  0.611  0.705  0.202  0.0  0.952  Y    0  0.250  (313,126,626,335)
  27  0.517  0.029  0.748  0.837  0.893  0.308  0.000  0.0  0.408  Y   -1  0.062  (87,175,243,279)
  28  0.516  0.009  0.789  0.834  0.916  0.338  0.000  0.0  0.489  Y   -1  0.089  (30,153,217,278)
