图片: 454
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
 43. final=0.153 aes_norm=0.153 aes_raw=3.136 pen=0.000 rule=0.182 L=N i= -1 box=(33,1,128,129) area_ratio=0.040
 44. final=0.153 aes_norm=0.403 aes_raw=3.490 pen=0.500 rule=0.000 L=N i=  0 box=(176,468,271,596) area_ratio=0.040
 45. final=0.143 aes_norm=0.393 aes_raw=3.476 pen=0.500 rule=0.000 L=N i=  0 box=(171,418,266,546) area_ratio=0.040
 46. final=0.143 aes_norm=0.393 aes_raw=3.476 pen=0.500 rule=0.000 L=Y i=  3 box=(4,375,99,503) area_ratio=0.040
 47. final=0.139 aes_norm=0.389 aes_raw=3.470 pen=0.500 rule=0.000 L=N i=  2 box=(140,229,235,357) area_ratio=0.040
 48. final=0.127 aes_norm=0.377 aes_raw=3.453 pen=0.500 rule=0.000 L=N i=  2 box=(104,191,199,319) area_ratio=0.040
 49. final=0.126 aes_norm=0.376 aes_raw=3.452 pen=0.500 rule=0.000 L=Y i=  0 box=(0,322,95,450) area_ratio=0.040
 50. final=0.125 aes_norm=0.375 aes_raw=3.450 pen=0.500 rule=0.000 L=N i=  2 box=(103,143,198,271) area_ratio=0.040
 51. final=0.119 aes_norm=0.369 aes_raw=3.441 pen=0.500 rule=0.000 L=N i=  0 box=(69,413,164,541) area_ratio=0.040
 52. final=0.108 aes_norm=0.358 aes_raw=3.426 pen=0.500 rule=0.000 L=N i=  0 box=(104,422,199,550) area_ratio=0.040
 53. final=0.107 aes_norm=0.357 aes_raw=3.425 pen=0.500 rule=0.000 L=N i=  2 box=(142,321,237,449) area_ratio=0.040
 54. final=0.104 aes_norm=0.354 aes_raw=3.421 pen=0.500 rule=0.000 L=N i=  2 box=(30,99,125,227) area_ratio=0.040
 55. final=0.104 aes_norm=0.354 aes_raw=3.421 pen=0.500 rule=0.000 L=N i=  0 box=(138,423,233,551) area_ratio=0.040
 56. final=0.086 aes_norm=0.336 aes_raw=3.395 pen=0.500 rule=0.000 L=N i=  1 box=(171,192,266,320) area_ratio=0.040
 57. final=0.076 aes_norm=0.326 aes_raw=3.381 pen=0.500 rule=0.000 L=N i=  0 box=(68,378,163,506) area_ratio=0.040
 58. final=0.075 aes_norm=0.325 aes_raw=3.380 pen=0.500 rule=0.000 L=Y i=  3 box=(4,512,99,640) area_ratio=0.040
 59. final=0.074 aes_norm=0.324 aes_raw=3.379 pen=0.500 rule=0.000 L=N i=  0 box=(31,372,126,500) area_ratio=0.040
 60. final=0.070 aes_norm=0.320 aes_raw=3.373 pen=0.500 rule=0.000 L=N i=  2 box=(103,321,198,449) area_ratio=0.040
 61. final=0.065 aes_norm=0.315 aes_raw=3.366 pen=0.500 rule=0.000 L=N i=  2 box=(138,189,233,317) area_ratio=0.040
 62. final=0.064 aes_norm=0.314 aes_raw=3.364 pen=0.500 rule=0.000 L=N i=  2 box=(69,190,164,318) area_ratio=0.040
 63. final=0.058 aes_norm=0.308 aes_raw=3.355 pen=0.500 rule=0.037 L=N i=  1 box=(212,0,355,192) area_ratio=0.090
 64. final=0.052 aes_norm=0.302 aes_raw=3.347 pen=0.500 rule=0.000 L=N i=  3 box=(68,460,163,588) area_ratio=0.040
 65. final=0.052 aes_norm=0.302 aes_raw=3.346 pen=0.500 rule=0.000 L=N i=  2 box=(170,227,265,355) area_ratio=0.040
 66. final=0.050 aes_norm=0.300 aes_raw=3.344 pen=0.500 rule=0.044 L=N i=  1 box=(189,0,332,192) area_ratio=0.090
 67. final=0.048 aes_norm=0.298 aes_raw=3.341 pen=0.500 rule=0.000 L=N i=  3 box=(31,417,126,545) area_ratio=0.040
 68. final=0.045 aes_norm=0.295 aes_raw=3.337 pen=0.500 rule=0.000 L=N i=  0 box=(0,89,95,217) area_ratio=0.040
 69. final=0.037 aes_norm=0.287 aes_raw=3.326 pen=0.500 rule=0.000 L=N i=  3 box=(139,512,234,640) area_ratio=0.040
 70. final=0.033 aes_norm=0.283 aes_raw=3.321 pen=0.500 rule=0.000 L=Y i=  3 box=(0,420,95,548) area_ratio=0.040
 71. final=0.029 aes_norm=0.279 aes_raw=3.315 pen=0.500 rule=0.000 L=N i=  2 box=(66,141,161,269) area_ratio=0.040
 72. final=0.004 aes_norm=0.254 aes_raw=3.279 pen=0.500 rule=0.000 L=N i=  0 box=(0,143,95,271) area_ratio=0.040
 73. final=-0.005 aes_norm=0.245 aes_raw=3.266 pen=0.500 rule=0.017 L=N i=  1 box=(152,0,295,192) area_ratio=0.090
 74. final=-0.006 aes_norm=0.244 aes_raw=3.264 pen=0.500 rule=0.000 L=N i=  1 box=(140,93,235,221) area_ratio=0.040
 75. final=-0.008 aes_norm=0.242 aes_raw=3.261 pen=0.500 rule=0.000 L=N i=  0 box=(33,285,128,413) area_ratio=0.040
 76. final=-0.013 aes_norm=0.237 aes_raw=3.255 pen=0.500 rule=0.000 L=N i=  1 box=(107,4,202,132) area_ratio=0.040
 77. final=-0.020 aes_norm=0.230 aes_raw=3.245 pen=0.500 rule=0.000 L=N i=  0 box=(143,467,238,595) area_ratio=0.040
 78. final=-0.021 aes_norm=0.229 aes_raw=3.243 pen=0.500 rule=0.000 L=N i=  2 box=(36,185,131,313) area_ratio=0.040
 79. final=-0.024 aes_norm=0.226 aes_raw=3.239 pen=0.500 rule=0.000 L=N i=  2 box=(66,93,161,221) area_ratio=0.040
