图片: B09
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=284.5, center_y=138.0, width=313.0, height=208.0)
  角点表示: (x1=128.0, y1=34.0, x2=441.0, y2=242.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.607  0.906  0.920  0.697  0.977  0.412  0.187  0.0  0.341  N    3  0.249  (128,34,441,242)
   2  0.604  0.982  0.912  0.766  0.948  0.445  0.181  0.0  0.514  N    2  0.360  (125,0,501,250)
   3  0.594  0.931  0.934  0.750  0.953  0.367  0.252  0.0  0.872  Y    0  0.249  (0,28,313,236)
   4  0.588  0.875  0.940  0.769  0.954  0.354  0.256  0.0  0.733  Y    0  0.249  (0,21,313,229)
   5  0.587  0.881  0.953  0.837  0.915  0.329  0.269  0.0  0.319  N    0  0.249  (10,0,323,208)
   6  0.583  0.983  0.923  0.832  0.919  0.396  0.250  0.0  0.936  Y    0  0.249  (0,42,313,250)
   7  0.581  0.879  0.951  0.874  0.894  0.328  0.269  0.0  0.316  Y    0  0.249  (0,0,313,208)
   8  0.580  0.872  0.951  0.867  0.899  0.329  0.268  0.0  0.336  Y    0  0.249  (0,1,313,209)
   9  0.574  0.815  0.939  0.766  0.954  0.356  0.255  0.0  0.753  Y    0  0.249  (0,22,313,230)
  10  0.573  0.816  0.948  0.814  0.928  0.336  0.264  0.0  0.475  Y    0  0.249  (0,8,313,216)
  11  0.551  0.729  0.946  0.559  1.000  0.334  0.279  0.0  0.350  N    0  0.159  (53,43,303,209)
  12  0.543  0.885  0.914  0.856  0.880  0.460  0.198  0.0  0.552  N    3  0.249  (122,52,435,260)
  13  0.524  0.957  0.912  0.936  0.832  0.432  0.257  0.0  0.706  Y    0  0.249  (0,56,313,264)
  14  0.478  0.826  0.931  0.739  0.959  0.374  0.400  0.0  0.209  N    5  0.159  (178,57,428,223)
  15  0.453  1.000  0.903  0.898  0.821  0.456  0.353  0.0  0.310  N    2  0.360  (181,0,557,250)
  16  0.444  0.941  0.909  0.925  0.846  0.352  0.458  0.0  0.215  N    2  0.249  (203,0,516,208)
  17  0.433  0.966  0.882  0.972  0.743  0.618  0.184  0.0  0.701  N    2  0.360  (122,47,498,297)
  18  0.430  0.668  0.928  0.944  0.810  0.371  0.342  0.0  0.202  N    5  0.159  (47,82,297,248)
