图片: B04
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=249.5, center_y=111.0, width=313.0, height=208.0)
  角点表示: (x1=93.0, y1=7.0, x2=406.0, y2=215.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.860  1.000  1.000  0.584  0.999  0.125  0.000  0.0  0.591  Y   -1  0.249  (93,7,406,215)
   2  0.842  0.921  1.000  0.612  0.996  0.129  0.000  0.0  0.714  Y   -1  0.249  (203,0,516,208)
   3  0.841  0.964  1.000  0.582  0.999  0.163  0.000  0.0  0.701  Y   -1  0.360  (125,0,501,250)
   4  0.833  0.924  1.000  0.575  0.999  0.125  0.000  0.0  0.582  Y   -1  0.249  (46,0,359,208)
   5  0.830  0.926  1.000  0.563  1.000  0.126  0.000  0.0  0.600  Y   -1  0.249  (120,0,433,208)
   6  0.830  0.888  1.000  0.606  0.996  0.126  0.000  0.0  0.743  Y   -1  0.249  (223,0,536,208)
   7  0.829  0.914  1.000  0.600  0.997  0.168  0.000  0.0  0.736  Y   -1  0.360  (251,0,627,250)
   8  0.823  0.902  1.000  0.569  0.999  0.129  0.000  0.0  0.624  Y   -1  0.249  (156,0,469,208)
   9  0.822  0.907  1.000  0.556  1.000  0.125  0.000  0.0  0.572  Y   -1  0.249  (10,0,323,208)
  10  0.820  0.894  1.000  0.570  0.999  0.134  0.000  0.0  0.603  Y   -1  0.249  (156,18,469,226)
  11  0.820  0.898  1.000  0.588  0.998  0.170  0.000  0.0  0.744  Y   -1  0.360  (218,0,594,250)
  12  0.819  0.895  1.000  0.587  0.998  0.169  0.000  0.0  0.754  Y   -1  0.360  (181,0,557,250)
  13  0.815  0.907  1.000  0.550  1.000  0.154  0.000  0.0  0.633  Y   -1  0.360  (68,0,444,250)
  14  0.809  0.796  0.991  0.634  0.993  0.108  0.000  0.0  0.722  Y   -1  0.249  (306,0,619,208)
  15  0.808  0.839  1.000  0.583  0.999  0.122  0.000  0.0  0.570  Y   -1  0.159  (199,0,449,166)
  16  0.804  0.844  1.000  0.573  0.999  0.138  0.000  0.0  0.570  Y   -1  0.249  (43,30,356,238)
  17  0.801  0.802  1.000  0.600  0.997  0.124  0.000  0.0  0.612  Y   -1  0.159  (221,0,471,166)
  18  0.800  0.866  1.000  0.566  1.000  0.187  0.000  0.0  0.585  Y   -1  0.249  (184,52,497,260)
  19  0.800  0.805  0.991  0.594  0.998  0.115  0.000  0.0  0.735  Y   -1  0.249  (256,0,569,208)
  20  0.790  0.819  1.000  0.557  1.000  0.147  0.000  0.0  0.591  Y   -1  0.249  (128,34,441,242)
