图片: B15
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=405.5, center_y=110.5, width=295.0, height=221.0)
  角点表示: (x1=258.0, y1=0.0, x2=553.0, y2=221.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.807  0.860  0.791  0.917  0.854  0.098  0.000  0.0  0.930  N    1  0.249  (258,0,553,221)
   2  0.799  0.937  0.775  0.647  0.991  0.200  0.008  0.0  0.947  N    0  0.249  (225,22,520,243)
   3  0.729  0.839  0.812  0.807  0.918  0.287  0.000  0.0  0.938  N    0  0.249  (265,26,560,247)
   4  0.717  1.000  0.667  0.806  0.928  0.337  0.000  0.0  0.954  N    0  0.358  (171,0,525,265)
   5  0.675  0.792  0.819  0.890  0.850  0.268  0.053  0.0  0.650  N    0  0.249  (284,22,579,243)
   6  0.659  0.843  0.688  0.582  0.999  0.404  0.000  0.0  0.944  N    0  0.358  (205,0,559,265)
   7  0.647  0.822  0.719  0.795  0.935  0.421  0.000  0.0  0.936  N    0  0.358  (237,0,591,265)
   8  0.646  0.811  0.716  0.783  0.943  0.420  0.000  0.0  0.936  N    0  0.358  (235,0,589,265)
   9  0.641  0.765  0.830  0.868  0.897  0.430  0.000  0.0  0.944  N    0  0.249  (262,41,557,262)
  10  0.639  0.829  0.792  0.846  0.912  0.390  0.057  0.0  0.716  N    0  0.249  (220,49,515,270)
  11  0.618  0.877  0.735  0.819  0.929  0.508  0.000  0.0  0.940  N    0  0.358  (237,12,591,277)
  12  0.618  0.859  0.734  0.814  0.931  0.501  0.000  0.0  0.940  N    0  0.358  (237,11,591,276)
  13  0.600  0.813  0.796  0.877  0.887  0.428  0.071  0.0  0.717  N    0  0.249  (220,54,515,275)
  14  0.594  0.821  0.840  0.909  0.851  0.507  0.011  0.0  0.885  N    0  0.249  (265,49,560,270)
  15  0.589  0.909  0.693  0.852  0.908  0.553  0.000  0.0  0.960  N    0  0.358  (182,27,536,292)
  16  0.559  0.894  0.741  0.872  0.887  0.610  0.000  0.0  0.946  N    0  0.358  (235,27,589,292)
  17  0.552  0.872  0.745  0.879  0.880  0.610  0.000  0.0  0.946  N    0  0.358  (237,27,591,292)
  18  0.508  0.904  0.764  0.947  0.818  0.677  0.000  0.0  0.949  N    0  0.358  (237,38,591,303)
  19  0.503  0.698  0.843  0.926  0.839  0.584  0.046  0.0  0.709  N    0  0.249  (255,61,550,282)
