图片: B08
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=398.5, center_y=177.5, width=387.0, height=243.0)
  角点表示: (x1=205.0, y1=56.0, x2=592.0, y2=299.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.831  0.978  0.950  0.947  0.787  0.571  0.000  0.0  0.971  N    4  0.359  (205,56,592,299)
   2  0.829  0.935  0.938  0.999  0.669  0.455  0.000  0.0  0.962  N    4  0.359  (205,31,592,274)
   3  0.813  0.983  0.945  0.952  0.783  0.677  0.000  0.0  0.981  N    4  0.359  (205,80,592,323)
   4  0.801  0.880  0.968  0.963  0.605  0.415  0.000  0.0  0.967  N    4  0.249  (232,62,555,264)
   5  0.798  1.000  0.945  0.707  0.977  0.587  0.000  0.0  0.958  N    4  0.359  (259,56,646,299)
   6  0.775  0.713  0.968  0.886  0.883  0.417  0.000  0.0  0.962  N    6  0.160  (308,96,566,258)
   7  0.773  0.805  0.969  0.923  0.707  0.478  0.000  0.0  0.971  N    4  0.249  (237,76,560,278)
   8  0.766  0.884  0.795  0.841  0.699  0.320  0.000  0.0  0.954  N    4  0.249  (51,55,374,257)
   9  0.764  0.737  0.928  0.874  0.890  0.466  0.000  0.0  0.948  N    6  0.249  (315,65,638,267)
  10  0.758  0.715  0.943  0.834  0.921  0.446  0.000  0.0  0.951  N    6  0.160  (356,99,614,261)
  11  0.757  0.800  0.924  0.886  0.884  0.632  0.000  0.0  0.957  N    6  0.249  (323,109,646,311)
  12  0.754  0.647  0.961  0.870  0.888  0.385  0.000  0.0  0.960  N    6  0.122  (331,106,557,247)
  13  0.750  0.676  0.918  0.959  0.798  0.272  0.046  0.0  0.954  N    5  0.122  (136,101,362,242)
  14  0.746  0.631  0.946  0.888  0.883  0.410  0.000  0.0  0.950  N    6  0.122  (374,109,600,250)
  15  0.732  0.691  0.977  0.969  0.475  0.343  0.000  0.0  0.959  N    6  0.160  (269,80,527,242)
  16  0.729  0.652  0.983  0.937  0.587  0.359  0.000  0.0  0.966  N    6  0.122  (298,102,524,243)
  17  0.729  0.733  0.940  0.879  0.700  0.479  0.000  0.0  0.945  N    6  0.160  (388,103,646,265)
  18  0.728  0.640  0.929  0.884  0.884  0.504  0.000  0.0  0.969  N    6  0.160  (315,124,573,286)
  19  0.723  0.789  0.942  0.675  0.985  0.579  0.000  0.0  0.961  N    6  0.249  (310,95,633,297)
  20  0.722  0.641  0.926  0.855  0.902  0.507  0.000  0.0  0.959  N    6  0.160  (356,120,614,282)
  21  0.721  0.832  0.966  0.879  0.377  0.396  0.000  0.0  0.975  N    4  0.249  (198,60,521,262)
  22  0.707  0.757  0.957  0.904  0.717  0.558  0.037  0.0  0.979  N    6  0.249  (237,96,560,298)
  23  0.697  0.528  0.911  0.880  0.886  0.447  0.000  0.0  0.959  N    6  0.122  (372,129,598,270)
  24  0.682  0.664  0.918  0.962  0.791  0.335  0.112  0.0  0.970  N    5  0.160  (118,94,376,256)
  25  0.681  0.719  0.980  0.772  0.514  0.397  0.000  0.0  0.971  N    6  0.160  (261,98,519,260)
  26  0.681  0.588  0.912  0.959  0.646  0.531  0.000  0.0  0.950  N    6  0.160  (387,126,645,288)
  27  0.681  0.583  0.871  0.960  0.703  0.537  0.000  0.0  0.949  N    6  0.160  (357,139,615,301)
  28  0.674  0.921  0.948  0.694  0.440  0.561  0.000  0.0  0.986  N    4  0.359  (147,56,534,299)
  29  0.661  0.650  0.876  0.890  0.409  0.355  0.000  0.0  0.951  N    5  0.160  (73,99,331,261)
  30  0.648  0.604  0.919  0.945  0.673  0.429  0.075  0.0  0.976  N    6  0.122  (304,131,530,272)
  31  0.630  0.913  0.710  0.588  0.379  0.293  0.000  0.0  0.929  N    4  0.249  (7,51,330,253)
  32  0.625  0.570  0.905  0.892  0.879  0.446  0.112  0.0  0.968  N    6  0.122  (336,134,562,275)
  33  0.623  0.762  0.811  0.611  0.420  0.252  0.000  0.0  0.935  N    4  0.160  (67,79,325,241)
  34  0.623  0.773  0.817  0.953  0.449  0.543  0.075  0.0  0.965  N    5  0.249  (38,95,361,297)
  35  0.596  0.431  0.865  0.971  0.511  0.544  0.000  0.0  0.938  N    6  0.160  (388,141,646,303)
  36  0.591  0.576  0.823  0.952  0.547  0.546  0.058  0.0  0.940  N    6  0.160  (300,149,558,311)
  37  0.589  0.710  0.956  0.790  0.598  0.446  0.124  0.0  0.978  N    6  0.160  (269,112,527,274)
  38  0.582  0.855  0.914  0.845  0.298  0.776  0.056  0.0  0.931  Y    6  0.359  (129,103,516,346)
