图片: 6915_h
候选框数量: 100
LARGE_OBJECT_THRESHOLD=0.45, OBJECT_CLIP_PENALTY_WEIGHT=0.5, OBJECT_CLIP_FULL_PENALTY_AT=0.4, PENALTY_WEIGHT_IN_FINAL=0.5

按 final_score 排序:
  1. final=1.000 aes_norm=1.000 aes_raw=5.759 pen=0.000 rule=0.965 L=N i=  0 box=(223,61,619,364) area_ratio=0.359
  2. final=0.854 aes_norm=0.854 aes_raw=5.565 pen=0.000 rule=0.947 L=N i=  0 box=(321,80,651,333) area_ratio=0.250
  3. final=0.725 aes_norm=0.725 aes_raw=5.392 pen=0.000 rule=0.965 L=N i=  0 box=(264,91,660,394) area_ratio=0.359
  4. final=0.672 aes_norm=0.697 aes_raw=5.355 pen=0.051 rule=0.973 L=N i=  1 box=(131,17,527,320) area_ratio=0.359
  5. final=0.671 aes_norm=0.671 aes_raw=5.321 pen=0.000 rule=0.948 L=N i=  0 box=(294,62,624,315) area_ratio=0.250
  6. final=0.658 aes_norm=0.658 aes_raw=5.303 pen=0.000 rule=0.975 L=N i=  0 box=(223,91,619,394) area_ratio=0.359
  7. final=0.615 aes_norm=0.615 aes_raw=5.245 pen=0.000 rule=0.971 L=N i=  0 box=(275,134,605,387) area_ratio=0.250
  8. final=0.613 aes_norm=0.613 aes_raw=5.242 pen=0.000 rule=0.955 L=N i=  0 box=(327,109,657,362) area_ratio=0.250
  9. final=0.601 aes_norm=0.601 aes_raw=5.227 pen=0.000 rule=0.963 L=N i=  0 box=(305,116,635,369) area_ratio=0.250
 10. final=0.581 aes_norm=0.581 aes_raw=5.201 pen=0.000 rule=0.977 L=N i=  0 box=(221,155,551,408) area_ratio=0.250
 11. final=0.572 aes_norm=0.572 aes_raw=5.187 pen=0.000 rule=0.954 L=N i=  0 box=(242,40,572,293) area_ratio=0.250
 12. final=0.551 aes_norm=0.551 aes_raw=5.160 pen=0.000 rule=0.969 L=N i=  0 box=(225,74,555,327) area_ratio=0.250
 13. final=0.549 aes_norm=0.549 aes_raw=5.158 pen=0.000 rule=0.954 L=N i=  0 box=(190,0,586,303) area_ratio=0.359
 14. final=0.543 aes_norm=0.543 aes_raw=5.149 pen=0.000 rule=0.975 L=N i=  0 box=(256,116,586,369) area_ratio=0.250
 15. final=0.542 aes_norm=0.783 aes_raw=5.469 pen=0.481 rule=0.971 L=N i=  1 box=(146,48,476,301) area_ratio=0.250
 16. final=0.537 aes_norm=0.537 aes_raw=5.142 pen=0.000 rule=0.967 L=N i=  0 box=(256,91,586,344) area_ratio=0.250
 17. final=0.533 aes_norm=0.533 aes_raw=5.136 pen=0.000 rule=0.968 L=N i=  0 box=(271,106,601,359) area_ratio=0.250
 18. final=0.513 aes_norm=0.513 aes_raw=5.110 pen=0.000 rule=0.973 L=N i=  0 box=(256,141,586,394) area_ratio=0.250
 19. final=0.511 aes_norm=0.511 aes_raw=5.107 pen=0.000 rule=0.987 L=N i=  0 box=(206,116,536,369) area_ratio=0.250
 20. final=0.508 aes_norm=0.508 aes_raw=5.103 pen=0.000 rule=0.989 L=N i=  0 box=(163,91,559,394) area_ratio=0.359
 21. final=0.504 aes_norm=0.504 aes_raw=5.098 pen=0.000 rule=0.956 L=N i=  0 box=(330,139,660,392) area_ratio=0.250
 22. final=0.491 aes_norm=0.491 aes_raw=5.080 pen=0.000 rule=0.946 L=N i=  0 box=(272,39,602,292) area_ratio=0.250
 23. final=0.491 aes_norm=0.741 aes_raw=5.413 pen=0.500 rule=0.972 L=N i=  0 box=(223,121,619,424) area_ratio=0.359
 24. final=0.463 aes_norm=0.463 aes_raw=5.043 pen=0.000 rule=0.948 L=N i=  0 box=(385,131,649,333) area_ratio=0.160
 25. final=0.461 aes_norm=0.711 aes_raw=5.373 pen=0.500 rule=0.953 L=N i=  1 box=(72,203,468,506) area_ratio=0.359
 26. final=0.455 aes_norm=0.705 aes_raw=5.365 pen=0.500 rule=0.953 L=N i=  1 box=(72,0,468,303) area_ratio=0.359
