图片: B05
候选框数量: 100
权重: W_AES=0.29 W_CONTENT=0.2 W_THIRDS=0.22 W_CENTER=0.3 W_DEP=-0.25 W_CLIP_PEN=0.6 W_MISSING_PEN=-0.5

【最佳取景框】
  中心表示: (center_x=447.5, center_y=245.0, width=327.0, height=200.0)
  角点表示: (x1=284.0, y1=145.0, x2=611.0, y2=345.0)

排名  final   aes    con    3rd    ctr    dep    pen    msg    rule   L  i    area   box
   1  0.847  0.923  0.907  0.859  0.883  0.284  0.000  0.0  0.471  Y   -1  0.250  (284,145,611,345)
   2  0.839  0.954  0.887  0.931  0.764  0.362  0.000  0.0  0.553  Y   -1  0.250  (327,164,654,364)
   3  0.837  0.950  0.929  0.856  0.905  0.435  0.000  0.0  0.566  Y   -1  0.250  (284,169,611,369)
   4  0.835  0.939  0.860  0.891  0.878  0.374  0.000  0.0  0.507  Y   -1  0.250  (154,146,481,346)
   5  0.834  0.964  0.921  0.738  0.963  0.335  0.000  0.0  0.532  Y   -1  0.250  (249,151,576,351)
   6  0.833  0.854  0.858  0.816  0.928  0.164  0.000  0.0  0.257  Y   -1  0.250  (235,118,562,318)
   7  0.832  0.889  0.889  0.911  0.801  0.292  0.000  0.0  0.507  Y   -1  0.250  (314,150,641,350)
   8  0.826  0.799  0.810  0.929  0.832  0.136  0.000  0.0  0.162  Y   -1  0.250  (290,107,617,307)
   9  0.818  0.992  0.935  0.690  0.981  0.428  0.000  0.0  0.573  Y   -1  0.250  (244,164,571,364)
  10  0.811  0.866  0.894  0.748  0.964  0.272  0.000  0.0  0.403  Y   -1  0.250  (197,135,524,335)
  11  0.808  0.808  0.676  0.834  0.918  0.033  0.000  0.0  0.080  Y   -1  0.250  (189,61,516,261)
  12  0.808  0.773  0.727  0.918  0.848  0.092  0.000  0.0  0.065  Y   -1  0.250  (293,87,620,287)
  13  0.806  0.826  0.847  0.743  0.957  0.163  0.000  0.0  0.251  Y   -1  0.250  (200,116,527,316)
  14  0.804  0.773  0.664  0.982  0.748  0.046  0.000  0.0  0.049  Y   -1  0.250  (316,60,643,260)
  15  0.803  0.838  0.737  0.744  0.960  0.083  0.000  0.0  0.079  Y   -1  0.250  (237,87,564,287)
  16  0.803  1.000  0.814  0.889  0.881  0.617  0.000  0.0  0.616  Y   -1  0.360  (262,160,654,400)
  17  0.800  0.945  0.896  0.876  0.882  0.604  0.000  0.0  0.578  Y   -1  0.250  (287,194,614,394)
  18  0.800  0.777  0.742  0.891  0.879  0.152  0.000  0.0  0.178  Y   -1  0.250  (131,106,458,306)
  19  0.798  0.807  0.651  0.859  0.897  0.080  0.000  0.0  0.135  Y   -1  0.360  (130,51,522,291)
  20  0.797  0.741  0.671  0.941  0.816  0.039  0.000  0.0  0.054  Y   -1  0.250  (290,57,617,257)
  21  0.795  0.772  0.709  0.833  0.922  0.082  0.000  0.0  0.095  Y   -1  0.250  (150,91,477,291)
  22  0.792  0.762  0.608  0.927  0.840  0.035  0.000  0.0  0.125  Y   -1  0.360  (130,27,522,267)
  23  0.791  0.931  0.869  0.922  0.837  0.628  0.000  0.0  0.577  Y   -1  0.250  (300,200,627,400)
  24  0.791  0.737  0.707  0.954  0.783  0.093  0.000  0.0  0.059  Y   -1  0.250  (317,86,644,286)
  25  0.790  0.955  0.932  0.719  0.972  0.550  0.000  0.0  0.589  Y   -1  0.250  (201,175,528,375)
  26  0.789  0.724  0.668  0.882  0.885  0.021  0.000  0.0  0.069  Y   -1  0.250  (212,47,539,247)
  27  0.789  0.712  0.651  0.950  0.813  0.019  0.000  0.0  0.081  Y   -1  0.250  (163,47,490,247)
  28  0.788  0.740  0.663  0.867  0.891  0.036  0.000  0.0  0.089  Y   -1  0.250  (163,67,490,267)
  29  0.786  0.906  0.843  0.953  0.808  0.599  0.000  0.0  0.570  Y   -1  0.250  (327,200,654,400)
  30  0.785  0.755  0.678  0.808  0.921  0.029  0.000  0.0  0.069  Y   -1  0.250  (225,55,552,255)
  31  0.782  0.940  0.882  0.856  0.907  0.670  0.000  0.0  0.589  Y   -1  0.250  (251,200,578,400)
  32  0.782  0.845  0.940  0.798  0.942  0.507  0.000  0.0  0.539  Y   -1  0.160  (301,216,562,376)
  33  0.780  0.911  0.853  0.898  0.855  0.614  0.000  0.0  0.595  Y   -1  0.250  (147,177,474,377)
  34  0.778  0.776  0.609  0.817  0.918  0.043  0.000  0.0  0.111  Y   -1  0.360  (189,27,581,267)
  35  0.778  0.996  0.818  0.788  0.946  0.655  0.000  0.0  0.627  Y   -1  0.360  (218,160,610,400)
  36  0.777  0.857  0.926  0.669  0.986  0.370  0.000  0.0  0.549  Y   -1  0.160  (229,190,490,350)
  37  0.775  0.822  0.884  0.813  0.931  0.452  0.000  0.0  0.557  Y   -1  0.160  (190,196,451,356)
  38  0.774  0.725  0.678  0.812  0.932  0.051  0.000  0.0  0.090  Y   -1  0.250  (171,76,498,276)
  39  0.772  0.704  0.602  0.986  0.726  0.016  0.000  0.0  0.115  Y   -1  0.360  (130,3,522,243)
  40  0.772  0.951  0.880  0.812  0.925  0.691  0.000  0.0  0.595  Y   -1  0.250  (224,200,551,400)
  41  0.766  0.746  0.686  0.924  0.847  0.244  0.000  0.0  0.191  Y   -1  0.250  (93,109,420,309)
  42  0.763  0.833  0.836  0.921  0.747  0.473  0.000  0.0  0.527  Y   -1  0.160  (360,222,621,382)
  43  0.761  0.671  0.590  0.990  0.715  0.001  0.000  0.0  0.040  Y   -1  0.250  (292,25,619,225)
